Name,Id
Betfred,436a7be7-7ecc-49ee-8592-8b1309d231c7
Fansbet,c4564c9d-22a8-49b4-b30d-455ad82cbfcb
William Hill,f2c0ad88-525d-4f5c-8629-ba64ce1eb7b2
Moplay,8fc21e32-0e85-4047-a2fe-51b5a8f6c911
Betvictor,ac133ab6-99b8-4690-880d-50b092f12c78
Betway,4e1e0488-1dd7-4cf4-b144-7178539e4edd
Netbet,5b0c957a-6d0c-4003-be12-66c7fd9350ba
Expekt,144dca29-b091-46ab-8051-01ed9b707924
Ladbrokes,2a1a9de1-f184-4da2-b87c-e5b48e8169db
K8,d0c83809-5614-4d10-b05d-9f4da75fc8c1
888sport,5987a4a8-8797-4f08-bb6d-20290f26ab6d
Betstars,9153c15c-2a0c-41fd-8b91-ec0491475b35
bet365,160e8048-4830-46f5-959d-893a46e24052
comeon,1478766f-8480-46a7-8134-d35a3d64017f
laba360,ce7042e9-9b50-4690-a1f9-8b079c7430d1
quinnbet,1604f2de-0f57-45ce-821b-9d60b1c49cb2
totesport,5eff672c-350c-41c0-b1b0-f485b18b36ea
betuk,56f01b6b-7545-463a-bbe0-224963b844ae
mobilebet,96b35237-1129-4bdd-81f1-1cb593aa688d
novibet,fc8ed4ef-acfb-4ac2-877e-81eed86d1b1e
mr green,28d6d57c-046d-4157-ae66-e7ba9fafbb78
royal panda,52a2d5b9-a570-4841-b5e0-622a3c41b894
m88,1c29d6dc-ad55-4735-8549-846e291ac634
vbet,fb6fcbb2-4222-487e-86f8-e269ec962538
7 best bets,41c661ad-1dd5-4730-9ab1-63fd1427e22b
jennings bet,e22d4048-eab0-407e-bca7-81cb9ee7ca39
the pools,234f675e-5314-4d5b-a78c-318ed7e64839
138,8404c586-8299-443d-8762-6c001206d935
blacktype,49405d6b-925a-413a-96e7-62dd721386f4
dafabet,b14a8f3f-b5d0-4b25-9661-8ffb6aa84304
sportingbet,cb3b6171-b957-4e41-9860-4308de03b093
unibet,be62db7c-2481-4eef-a685-203fcf86af71
12bet,fabce6ca-52c4-4638-893f-d8f54d5d46fe
mansionbet,f4b368b5-d546-4030-a5c5-0647771602ac
bet at home,83328743-6a9c-42ea-b605-d6d8dcefc775
energybet,14a57318-1a32-4131-a6db-080846920684
boylesports,904c9199-8b81-4a96-af9e-c7d83317ab0c
21bet,41ad0a7c-0bfb-41ae-aa3c-42d50433f3cb
bwin,eda560dc-de49-4593-a616-2cebc48c95e9
paddy power,5d9cb0b5-8ed4-4b5f-b5cc-096670ff0dd4
marathonbet,b0f87a6a-4cda-4410-a2df-b437a0ae99a1
skybet,22518b6e-ef6c-479b-ab06-91f00019236c
Betfair,b239164f-e52b-4577-9af3-727ea91257cc
Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e
Betvision,89a69c43-d3c0-43ee-8e35-0fb87ba687ed
starsports,be55614c-1b25-4c95-a8e7-8146471470fa
10bet,03ace3c2-51b9-4511-8cb4-8ae61fb1fafd
betsafe,f79c95f8-939f-4cf4-8d1b-e36e11378e93
Coral,6cb47278-300d-415f-8ffd-15205886d989